Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
369,370,8671,Other forest,Other forest - unallocated type,82,1,2,1,SA,NVIS 6.0
370,371,12527,Native forest,Mangrove,59,2,1,1,SA,Aus_For18
371,372,3416,Native forest,Mangrove,15,5,5,1,SA,Global Mangroves
372,373,2241,Native forest,Mangrove,59,2,1,1,SA,Global Mangroves
373,374,416,Native forest,Other native forest,74,2,1,1,SA,Aus_For18
374,375,308,Native forest,Mangrove,59,2,1,1,SA,NVIS 6.0
375,376,307,Native forest,Mangrove,58,1,1,1,SA,Global Mangroves
376,377,2174,Native forest,Melaleuca,64,1,1,1,SA,NVIS 6.0
377,378,38645,Native forest,Other native forest,18,5,5,1,SA,Aus_For18
378,379,450643,Native forest,Eucalypt Medium Open,44,2,2,1,WA,NVIS 6.0
379,380,19361,Native forest,Melaleuca,64,1,1,1,SA,Aus_For18
380,381,131,Native forest,Mangrove,58,1,1,1,SA,Aus_For18
381,382,32,Native forest,Mangrove,58,1,1,1,SA,NVIS 6.0
382,383,14882,Native forest,Eucalypt Medium Open,44,2,2,1,SA,Aus_For18
383,384,2110,Native forest,Eucalypt Medium Open,44,2,2,1,SA,NVIS 6.0
384,385,558,Other forest,Other forest - unallocated type,86,2,2,1,SA,NVIS 6.0
385,386,954,Native forest,Callitris,19,2,1,1,SA,Aus_For18
386,387,33,Native forest,Callitris,19,2,1,1,SA,NVIS 6.0
387,388,174,Native forest,Other native forest,77,2,2,1,SA,NVIS 6.0
388,389,5,Native forest,Mangrove,15,5,5,1,SA,NVIS 6.0
389,390,189245,Native forest,Eucalypt Mallee Woodland,35,1,2,1,NSW,Aus_For18
390,391,3882,Native forest,Casuarina,26,2,1,1,NSW,Aus_For18
391,392,3,Native forest,Acacia,2,1,2,1,WA,Aus_For18
392,393,1313,Native forest,Other native forest,18,5,5,1,SA,NVIS 6.0
393,394,1506,Native forest,Eucalypt Mallee Open,37,2,1,1,NSW,Aus_For18
394,395,163972,Native forest,Eucalypt Tall Open,45,2,3,1,WA,Aus_For18
395,396,265,Native forest,Other native forest,80,2,3,1,NSW,Aus_For18
396,397,36,Native forest,Eucalypt Mallee Open,37,2,1,1,NSW,NVIS 6.0
397,398,480,Native forest,Eucalypt Tall Woodland,42,1,3,1,WA,Aus_For18
398,399,3248,Native forest,Melaleuca,65,2,1,1,SA,Aus_For18
399,400,23396,Native forest,Eucalypt Low Open,43,2,1,1,WA,NVIS 6.0
400,401,6049,Native forest,Eucalypt Low Open,43,2,1,1,SA,Aus_For18
401,402,1307,Native forest,Eucalypt Low Open,43,2,1,1,SA,NVIS 6.0
402,403,92,Native forest,Other native forest,84,3,1,1,NSW,NVIS 6.0
403,404,119,Other forest,Other forest - unallocated type,88,3,1,1,SA,NVIS 6.0
404,405,292,Native forest,Melaleuca,65,2,1,1,SA,NVIS 6.0
405,406,70,Native forest,Callitris,17,1,2,1,SA,Aus_For18
406,407,19699,Native forest,Other native forest,77,2,2,1,WA,Aus_For18
407,408,3,Native forest,Callitris,17,1,2,1,SA,NVIS 6.0
408,409,58,Native forest,Other native forest,84,3,1,1,SA,Aus_For18
409,410,27,Native forest,Other native forest,84,3,1,1,SA,NVIS 6.0
410,411,115,Native forest,Melaleuca,66,3,1,1,SA,Aus_For18
411,412,14511311,Non-forest,Non-forest,0,6,6,0,Vic, 
412,413,941651,Native forest,Eucalypt Medium Woodland,41,1,2,1,Vic,Aus_For18
413,414,3575,Other forest,Other forest - unallocated type,82,1,2,1,Vic,NVIS 6.0
414,415,435919,Native forest,Eucalypt Medium Woodland,41,1,2,1,Vic,NVIS 6.0
415,416,18019,Native forest,Other native forest,76,1,2,1,Vic,NVIS 6.0
416,417,62374,Native forest,Other native forest,18,5,5,1,Vic,NVIS 6.0
417,418,9196,Native forest,Casuarina,28,1,2,1,Vic,NVIS 6.0
418,419,940521,Native forest,Eucalypt Mallee Woodland,34,1,1,1,Vic,Aus_For18
419,420,150152,Native forest,Eucalypt Mallee Woodland,34,1,1,1,Vic,NVIS 6.0
420,421,535,Native forest,Eucalypt Mallee Open,37,2,1,1,WA,Aus_For18
421,422,2524043,Native forest,Eucalypt Medium Open,44,2,2,1,Vic,Aus_For18
422,423,2567,Native forest,Other native forest,73,1,1,1,Vic,NVIS 6.0
423,424,21513,Native forest,Other native forest,74,2,1,1,Vic,Aus_For18
424,425,84800,Native forest,Other native forest,73,1,1,1,Vic,Aus_For18
425,426,1071847,Native forest,Eucalypt Medium Open,44,2,2,1,Vic,NVIS 6.0
426,427,12212,Native forest,Other native forest,77,2,2,1,Vic,NVIS 6.0
427,428,44396,Native forest,Casuarina,28,1,2,1,Vic,Aus_For18
428,429,10644,Native forest,Eucalypt Mallee Open,37,2,1,1,Vic,Aus_For18
429,430,1352,Native forest,Other native forest,74,2,1,1,Vic,NVIS 6.0
430,431,187869,Native forest,Eucalypt Mallee Open,37,2,1,1,Vic,NVIS 6.0
431,432,7230,Non-forest,Non-forest,0,6,6,0,Vic,CLUM
432,433,1279,Native forest,Other native forest,80,2,3,1,Vic,NVIS 6.0
433,434,1708,Native forest,Eucalypt Tall Woodland,42,1,3,1,WA,NVIS 6.0
434,435,5016,Other forest,Other forest - unallocated type,86,2,2,1,Vic,NVIS 6.0
435,436,74,Native forest,Other native forest,9,1,3,1,Vic,NVIS 6.0
436,437,313,Other forest,Other forest - unallocated type,81,1,1,1,Vic,NVIS 6.0
437,438,57622,Native forest,Eucalypt Tall Open,45,2,3,1,WA,NVIS 6.0
438,439,803,Native forest,Mangrove,59,2,1,1,NSW,Global Mangroves
439,440,82,Native forest,Mangrove,59,2,1,1,NSW,NVIS 6.0
440,441,2643,Native forest,Melaleuca,68,2,2,1,NSW,Aus_For18
441,442,309,Native forest,Melaleuca,68,2,2,1,NSW,NVIS 6.0
442,443,5,Native forest,Acacia,4,2,1,1,SA,NVIS 6.0
443,444,102,Native forest,Casuarina,26,2,1,1,SA,NVIS 6.0
444,445,915,Native forest,Casuarina,26,2,1,1,SA,Aus_For18
445,446,51,Native forest,Acacia,4,2,1,1,SA,Aus_For18
446,447,523,Native forest,Callitris,20,2,2,1,SA,Aus_For18
447,448,129940,Commercial plantation,Softwood plantation,92,4,4,1,SA,NPI spatial
448,449,21,Native forest,Callitris,20,2,2,1,SA,NVIS 6.0
449,450,741,Native forest,Other native forest,77,2,2,1,WA,NVIS 6.0
450,451,45804,Commercial plantation,Hardwood plantation,91,4,4,1,SA,NPI spatial
451,452,55,Native forest,Casuarina,27,3,1,1,NSW,Aus_For18
452,453,54,Native forest,Other native forest,11,3,3,1,Vic,NVIS 6.0
453,454,21238,Other forest,Other forest - unallocated type,90,5,5,1,Vic,NVIS 6.0
454,455,72,Other forest,Other forest - unallocated type,85,2,1,1,Vic,NVIS 6.0
455,456,90,Commercial plantation,Mixed species plantation,93,4,4,1,SA,NPI spatial
456,457,107,Native forest,Other native forest,10,3,2,1,Vic,NVIS 6.0
457,458,252,Native forest,Acacia,1,1,1,1,Vic,NVIS 6.0
458,459,179,Other forest,Other forest - unallocated type,87,2,3,1,Vic,NVIS 6.0
459,460,16,Native forest,Eucalypt Tall Closed,48,3,3,1,WA,Aus_For18
460,461,944,Native forest,Acacia,1,1,1,1,Vic,Aus_For18
461,462,30,Native forest,Melaleuca,66,3,1,1,SA,NVIS 6.0
462,463,167583,Native forest,Other native forest,76,1,2,1,Vic,Aus_For18
463,464,7422,Native forest,Melaleuca,65,2,1,1,Vic,NVIS 6.0
464,465,14,Native forest,Melaleuca,14,5,5,1,Vic,NVIS 6.0
465,466,93108,Non-forest,Non-forest,0,6,6,0,ACT, 
466,467,90712,Native forest,Eucalypt Tall Open,45,2,3,1,ACT,Aus_For18
467,468,29985,Native forest,Eucalypt Tall Woodland,42,1,3,1,ACT,Aus_For18
468,469,3058,Other forest,Other forest - unallocated type,90,5,5,1,ACT,NVIS 6.0
469,470,88,Native forest,Other native forest,18,5,5,1,ACT,Aus_For18
470,471,137,Native forest,Casuarina,32,2,3,1,ACT,Aus_For18
471,472,407,Native forest,Casuarina,31,1,3,1,ACT,Aus_For18
472,473,89,Native forest,Other native forest,80,2,3,1,ACT,Aus_For18
473,474,440,Native forest,Casuarina,26,2,1,1,ACT,Aus_For18
474,475,9488,Commercial plantation,Softwood plantation,92,4,4,1,ACT,NPI spatial
475,476,861,Native forest,Eucalypt Medium Open,44,2,2,1,ACT,Aus_For18
476,477,33,Commercial plantation,Hardwood plantation,91,4,4,1,ACT,NPI spatial
477,478,7574,Native forest,Eucalypt Medium Woodland,41,1,2,1,ACT,Aus_For18
478,479,3,Native forest,Other native forest,84,3,1,1,Vic,Aus_For18
479,480,48869,Native forest,Eucalypt Mallee Woodland,35,1,2,1,Vic,NVIS 6.0
480,481,167967,Commercial plantation,Hardwood plantation,91,4,4,1,Vic,NPI spatial
481,482,6219,Native forest,Eucalypt Low Woodland,40,1,1,1,Vic,Aus_For18
482,483,5342,Native forest,Eucalypt Low Woodland,40,1,1,1,Vic,NVIS 6.0
483,484,95,Native forest,Callitris,17,1,2,1,Vic,Aus_For18
484,485,10254,Native forest,Acacia,4,2,1,1,Vic,Aus_For18
485,486,1210,Native forest,Acacia,4,2,1,1,Vic,NVIS 6.0
486,487,234504,Commercial plantation,Softwood plantation,92,4,4,1,Vic,NPI spatial
487,488,31,Native forest,Callitris,17,1,2,1,Vic,NVIS 6.0
488,489,329,Native forest,Melaleuca,64,1,1,1,Vic,NVIS 6.0
489,490,479903,Native forest,Eucalypt Tall Open,45,2,3,1,Vic,NVIS 6.0
490,491,566,Commercial plantation,Mixed species plantation,93,4,4,1,Vic,NPI spatial
