Rowid,VALUE *,COUNT,FOR_CATEGORY,FOR_TYPE,FOR_CODE,COVER_CODE,HT_CODE,FOREST,STATE,FOR_SOURCE
637,638,47,Other forest,Other forest - unallocated type,89,3,2,1,Tas,Tas Forest Comms
638,639,54210,Native forest,Rainforest,95,2,1,1,Tas,Aus_For18
639,640,1,Native forest,Acacia,4,2,1,1,Tas,NVIS 6.0
640,641,3432,Native forest,Rainforest,94,1,2,1,Tas,Aus_For18
641,642,258511,Native forest,Eucalypt Tall Woodland,42,1,3,1,Tas,Aus_For18
642,643,11861,Native forest,Rainforest,24,1,1,1,Tas,Aus_For18
643,644,121,Native forest,Other native forest,18,5,5,1,Tas,NVIS 6.0
644,645,73,Native forest,Other native forest,10,3,2,1,Tas,Tas Forest Comms
645,646,15,Native forest,Other native forest,18,5,5,1,Tas,Tas Forest Comms
646,647,44,Native forest,Acacia,4,2,1,1,Tas,Tas Forest Comms
647,648,40,Native forest,Casuarina,29,2,2,1,Tas,Tas Forest Comms
648,649,57,Native forest,Rainforest,97,2,2,1,Tas,Tas Forest Comms
649,650,6,Native forest,Melaleuca,71,2,3,1,Tas,NVIS 6.0
650,651,5,Other forest,Other forest - unallocated type,88,3,1,1,Tas,Tas Forest Comms
651,652,66,Other forest,Other forest - unallocated type,82,1,2,1,Tas,Tas Forest Comms
652,653,33,Native forest,Casuarina,28,1,2,1,Tas,Tas Forest Comms
653,654,58,Native forest,Rainforest,33,1,3,1,Tas,NVIS 6.0
654,655,40,Other forest,Other forest - unallocated type,81,1,1,1,Tas,NVIS 6.0
655,656,9,Native forest,Other native forest,74,2,1,1,Tas,NVIS 6.0
656,657,48,Native forest,Acacia,1,1,1,1,Tas,Tas Forest Comms
657,658,11,Other forest,Other forest - unallocated type,85,2,1,1,Tas,Tas Forest Comms
658,659,89,Native forest,Rainforest,24,1,1,1,Tas,Tas Forest Comms
659,660,23,Native forest,Rainforest,94,1,2,1,Tas,Tas Forest Comms
660,661,30,Other forest,Other forest - unallocated type,87,2,3,1,Tas,Tas Forest Comms
661,662,497,Native forest,Rainforest,95,2,1,1,Tas,Tas Forest Comms
662,663,6,Native forest,Acacia,2,1,2,1,Tas,NVIS 6.0
663,664,159,Native forest,Acacia,1,1,1,1,Tas,Aus_For18
664,665,6,Native forest,Rainforest,95,2,1,1,Tas,NVIS 6.0
665,666,22,Other forest,Other forest - unallocated type,81,1,1,1,Tas,Tas Forest Comms
666,667,2,Native forest,Rainforest,97,2,2,1,Tas,NVIS 6.0
667,668,16611,Native forest,Rainforest,100,3,3,1,Tas,Aus_For18
668,669,84,Native forest,Rainforest,100,3,3,1,Tas,Tas Forest Comms
669,670,230,Native forest,Other native forest,77,2,2,1,Tas,Tas Forest Comms
670,671,5,Native forest,Acacia,7,3,1,1,Tas,NVIS 6.0
671,672,144,Native forest,Other native forest,74,2,1,1,Tas,Tas Forest Comms
672,673,86,Native forest,Other native forest,11,3,3,1,Tas,Tas Forest Comms
673,674,1,Native forest,Eucalypt Low Closed,46,3,1,1,Tas,NVIS 6.0
674,675,2,Native forest,Eucalypt Low Woodland,40,1,1,1,Tas,NVIS 6.0
675,676,66,Native forest,Eucalypt Mallee Woodland,34,1,1,1,Tas,Aus_For18
676,677,3,Native forest,Rainforest,100,3,3,1,Tas,NVIS 6.0
677,678,1,Native forest,Rainforest,24,1,1,1,Tas,NVIS 6.0
678,679,1,Native forest,Other native forest,76,1,2,1,Tas,NVIS 6.0
679,680,2,Native forest,Callitris,16,1,1,1,Tas,Tas Forest Comms
680,681,1,Native forest,Callitris,17,1,2,1,Tas,Tas Forest Comms
681,682,25,Native forest,Callitris,23,3,2,1,Tas,Tas Forest Comms
682,683,1,Native forest,Other native forest,77,2,2,1,Tas,NVIS 6.0
683,684,1,Native forest,Callitris,23,3,2,1,Tas,NVIS 6.0
684,685,29,Native forest,Melaleuca,72,3,3,1,Tas,Aus_For18
685,686,3,Native forest,Other native forest,11,3,3,1,Tas,Aus_For18
686,687,2,Native forest,Melaleuca,72,3,3,1,Tas,Tas Forest Comms
